PRICE,DATE,QUARTER,MONTH,YEAR,NEIGHBORHOOD,CLUSTER,WARD,LOTSIZE,FLOORSPACE,AGE,BEDROOM,BATHROOM,HALFBATHROOM,FLOOR,HEAT,AC,FIREPLACE,BTYPE,CBD,METRO,POPU,SCHOOL,INCOME,VCRIMES,PCRIMES,FORE,BLACK,WHITE,HIS,ASIAN,POVERTY,UNEM,TEENMUM,VACANCY,OWNER,VOLUMN,MPRICE,FEMALEHEADED,LOWWEIGHT,SUBPRIME
245,09/12/2009,8,24,"2,009",COLUMBIA HEIGHTS,2,1,879,878,68,6,4,0,1,0,0,0,3,6577.19,1141.222,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
351,23/09/2009,7,21,"2,009",LEDROIT PARK,3,1,701,1245,119,2,2,0,1,1,1,0,4,2889.55,407.995,12174,6.03,84786,19,88,12,44,41,9.4,5,23,9.5,8.1,5.3,43,52,624000,53,15,1.5
376,08/06/2009,6,18,"2,009",LEDROIT PARK,3,1,391,984,109,2,2,0,1,1,1,0,4,2894.35,416.024,12174,6.03,84786,19,88,12,44,41,9.4,5,23,9.5,8.1,5.3,43,52,624000,53,15,1.5
419,02/10/2009,8,22,"2,009",LEDROIT PARK,3,1,805,513,109,1,1,0,1,1,1,0,4,2894.35,416.024,12174,6.03,84786,19,88,12,44,41,9.4,5,23,9.5,8.1,5.3,43,52,624000,53,15,1.5
472,30/11/2009,8,23,"2,009",LEDROIT PARK,3,1,209,527,109,1,1,0,1,1,1,0,4,2894.35,416.024,12174,6.03,84786,19,88,12,44,41,9.4,5,23,9.5,8.1,5.3,43,52,624000,53,15,1.5
605,19/11/2008,4,11,"2,008",COLUMBIA HEIGHTS,2,1,158,826,3,2,2,0,1,0,1,0,4,3207.12,914.396,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
566,26/08/2008,3,8,"2,008",COLUMBIA HEIGHTS,2,1,116,566,3,1,1,0,1,0,1,0,4,3207.12,914.396,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
650,19/08/2008,3,8,"2,008",COLUMBIA HEIGHTS,2,1,149,845,3,2,2,0,1,0,1,0,4,3207.12,914.396,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
565,22/07/2008,3,7,"2,008",COLUMBIA HEIGHTS,2,1,116,535,3,1,1,0,1,0,1,0,4,3207.12,914.396,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
515,07/11/2008,4,11,"2,008",COLUMBIA HEIGHTS,2,1,158,826,3,2,2,0,1,0,1,0,4,3207.12,914.396,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
