Sample,PRICE,DATE,NEIGHBORHOOD,N_CAH,N_CE,N_OC1,N_OC2,N_RSW,CLUSTER,WARD,OUTLIER 3s,LOTSIZE,FLOORSPACE,AGE,BEDROOM,BATHROOM,HALFBATHROOM,FLOOR,HEAT,AC,FIREPLACE,BTYPE,CBD,METRO,POPU,SCHOOL,INCOME,VCRIMES,PCRIMES,FORE,BLACK,WHITE,HIS,ASIAN,POVERTY,UNEM,TEENMUM,VACANCY,OWNER,VOLUMN,MPRICE,FEMALEHEADED,LOWWEIGHT,SUBPRIME
0.0009961814,420,22/02/2008,R.L.A. SW,0,0,0,0,1,9,6,,205,588,49,0,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.0040102339,441,28/01/2008,R.L.A. SW,0,0,0,0,1,9,6,,274,533,4,0,1,0,1,0,1,0,4,2421.23,533.60,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.0041743277,307,05/06/2009,R.L.A. SW,0,0,0,0,1,9,6,,296,489,44,0,1,0,1,0,1,0,4,2566.34,474.95,11588,7.31,83289,10,34,13,56,33,5.2,5.2,20,10,13,1,39,10,650000,63,16,5.4
0.0084075471,484,14/02/2008,R.L.A. SW,0,0,0,0,1,9,6,,205,554,49,0,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.0116956201,386,24/07/2008,R.L.A. SW,0,0,0,0,1,9,6,,205,575,49,0,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.0183798617,440,29/04/2008,R.L.A. SW,0,0,0,0,1,9,6,,205,445,49,0,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.0210181578,423,14/03/2008,R.L.A. SW,0,0,0,0,1,9,6,,347,463,41,0,1,0,1,0,1,0,4,2203.29,83.06,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.0220410868,629,25/08/2009,OLD CITY I,0,0,1,0,0,25,6,,597,707,135,0,1,0,1,0,1,0,4,1497.04,642.90,29295,7.58,126277,15,56,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,219,475000,40,10,11
0.027135947,365,10/03/2008,OLD CITY I,0,0,1,0,0,25,6,,289,646,1,0,1,0,1,1,1,0,4,216.65,205.72,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.0281718552,492,13/02/2008,R.L.A. SW,0,0,0,0,1,9,6,,205,486,49,0,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.0374552858,403,28/02/2008,R.L.A. SW,0,0,0,0,1,9,6,,205,486,49,0,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.0443086878,750,30/04/2009,CAPITOL HILL,1,0,0,0,0,26,6,1,174,316,209,0,1,0,1,0,1,1,4,2244.47,230.90,20909,7.29,169454,9.7,47,8,35,56,5.2,3.4,6.6,3.8,2.2,1.4,58,168,578000,18,8.7,5.8
0.0475779063,345,12/02/2008,R.L.A. SW,0,0,0,0,1,9,6,,205,621,49,0,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.0514447434,364,25/07/2008,R.L.A. SW,0,0,0,0,1,9,6,,205,569,49,0,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.0770660121,381,05/08/2009,R.L.A. SW,0,0,0,0,1,9,6,,274,533,5,0,1,0,1,0,1,0,4,2421.23,533.60,11588,7.31,83289,10,34,13,56,33,5.2,5.2,20,10,13,1,39,10,650000,63,16,5.4
0.0783548977,404,22/12/2009,R.L.A. SW,0,0,0,0,1,9,6,,76,467,49,0,1,0,1,0,1,0,4,1674.32,586.68,11588,7.31,83289,10,34,13,56,33,5.2,5.2,20,10,13,1,39,10,650000,63,16,5.4
0.1036166844,527,30/09/2008,OLD CITY I,0,0,1,0,0,25,6,,19,451,1,0,1,0,1,1,1,0,4,3901.60,114.24,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.1077821922,415,17/01/2008,R.L.A. SW,0,0,0,0,1,9,6,,205,561,49,0,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.1142160823,431,17/01/2008,R.L.A. SW,0,0,0,0,1,9,6,,205,486,49,0,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.1209027141,470,31/12/2009,R.L.A. SW,0,0,0,0,1,9,6,,84,528,49,0,1,0,1,0,1,0,4,1674.32,586.68,11588,7.31,83289,10,34,13,56,33,5.2,5.2,20,10,13,1,39,10,650000,63,16,5.4
0.1219730416,539,22/07/2008,CENTRAL,0,1,0,0,0,5,6,,60,453,4,0,1,0,1,1,1,0,4,1158.89,424.39,16160,6.48,203276,3.1,28,20,6.7,75,5.7,12,27,3.2,2.6,13,39,3,0,18,6,0.7
0.1264528998,469,15/01/2008,R.L.A. SW,0,0,0,0,1,9,6,,205,445,49,0,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.1387646083,417,30/09/2008,R.L.A. SW,0,0,0,0,1,9,6,,205,588,49,0,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
